source,state,district,river,raw_location,description,geom
mining_obs,Bihar,Saran,Ganga,"Serial Number,Latitude,Longitude
1,25.7197579999999,84.858699
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ",
mining_obs,Bihar,Saran,Ganga,"Serial Number,Latitude,Longitude
1,25.723759,84.8490079999999
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ",
mining_obs,Bihar,Patna,Ganga,"Serial Number,Latitude,Longitude
1,25.6723579999999,84.896293
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ",
mining_obs,Bihar,Patna,Ganga,"Serial Number,Latitude,Longitude
1,25.660128,84.9405749999999
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org",
mining_obs,Uttar Pradesh,Muzaffarnagar,yamuna,"Serial Number,Latitude,Longitude
1,29.451804,77.140333
","Information sourced via local sources on rampant sand mining taking place night and day. There have been past instances of mining being stopped in this location because of illegality.


It has been marked in Muzaffarnagar as per old Census data available on the platform. Actual district as per current data is Shamli.


News about this location - 
https://www.insaafnewstoday.com/2023/10/blog-post_32.html",
mining_obs,Bihar,Patna,Ganga,"Serial Number,Latitude,Longitude
1,25.6657809999999,84.972339
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org",
mining_obs,Bihar,Sitamarhi,Sone,"Serial Number,Latitude,Longitude
1,24.98539879,84.281991086909
","Observation made on a flight over the River Sone. Clear indication of machine based extraction of sand, but exact machines used not visible from flight.",
mining_obs,Bihar,Patna,Ganga,"Serial Number,Latitude,Longitude
1,25.6643979999999,85.0441749999999
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ",
mining_obs,Bihar,Katihar,Mahananda,"Serial Number,Latitude,Longitude
,25.43078198,87.76643001
","Sand Mining, Data from WCT",
mining_obs,Bihar,Patna,Ganga,"Serial Number,Latitude,Longitude
1,25.694606,84.875562
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on  
sandwatch@veditum.org
  ",
mining_obs,Bihar,Patna,Ganga,"Serial Number,Latitude,Longitude
1,25.6538129999999,85.0810939999999
",NA,
mining_obs,Madhya Pradesh,Datia,Sindh,"Serial Number,Latitude,Longitude
, 26.107978, 78.688301
","- Location was close to Dobhiyai village very close to Sindh (village on lower elevation) and many houses destroyed during 2021 floods

- When we reached the river, no mining was taking place. But we could evidence of sand mining done in recent past.

- Heaps of sand visible

- Tractor / car / heavy vehicle marks seen on river bank soil

- The son of the local sarpanch told us - ""Right now there is a pause on sand mining"". So the fresh tyre marks indicated that mining might have happened during night.

- On way to the river saw JCB digging, tractor and car

- On river bank just adjacent saw a small temp tent - possibly of sand mining workers staying

- Small puddles in river surrounded by sand heaps - algae in river puddles

--------------------------------------------------------------------------------------------------------------------------------------------

Nearby location 1 -  26.101715,  78.695503

- Ravines on North side

- Saw JCB mining sand in ravine, and heaps of sand - nearby marked location

- saw tractors on this way


Nearby location 2 -  26.097884,  78.704293

- Huge heap of sand observed collected and deposited here, saw trucks as well

--------------------------------------------------------------------------------------------------------------------------------------------

- On the same day, while going from Khamrauli to Ratangarh temple, sand mining was taking place at many places on the 10-12 kilometer route. The tents of the people and their people were visible. We covered this forested path by bike. 

- Local villagers said that there is more illegal sand mining in this area than legal sand mining.

- Forest workers and local people near Ratangarh Mata Temple (few kms upstream of Dobhiyai) told that a lot of sand mining takes place here. A local hotel owner told that the bridge of Ratangarh broke due to sand mining.


(Observations by Rahul Singh and Aishani Goswami)",
mining_obs,Maharashtra,Sindhudurg,Gad,"Serial Number,Latitude,Longitude
,16.157017,73.470469
","Boats (not as many, 5 observed from the bridge), trucks (one truck was being loaded). Boats noted in broad daylight, trucks loading of sand from the boat",
mining_obs,Gujarat,Anand,Mahi,"Serial Number,Latitude,Longitude
1,22.581877,73.151901
","Observed from across the river. 


This case report has been generated based on sightings of sand mining from the India Sand Watch and Veditum network. Have observations of sand mining in Indian rivers? Email 
sandwatch@veditum.org
 ",
mining_obs,Uttar Pradesh,Ballia,Ganga,"Serial Number,Latitude,Longitude
1,25.6003019999999,84.0008499999999
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ",
mining_obs,Odisha,Jharsuguda,Ib (Odisha),"Serial Number,Latitude,Longitude
1,21.929645,84.013167
","Sand Mining is being conducted on a huge scale on the Ib River in Jharsuguda District of Odisha.


This case report has been created based on inputs provided by - 
https://twitter.com/inishamani
 - on twitter, with photos, videos and GPS points.",
mining_obs,Bihar,Patna,Ganga,"Serial Number,Latitude,Longitude
1,25.653776,85.080955
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ",
mining_obs,Madhya Pradesh,Datia,Sindh,"Serial Number,Latitude,Longitude
1, 25.923365, 78.472876
","- A concrete bridge was washed away in August 2021 floods near Laanch village

- Sand mining is happening hardly 300 meters upstream of the bridge (could see JCB and 'pandupi' in photo from across the bank, near the bridge)

- Pandupi - boat like setup with pipes and diesel pumps in the middle of the river pumping out sand and water from the river bed and deposits on to the bank. The water flows back to the river and the sand deposited on river bank is filled on tractors through JCBs

- We could hear the sounds of machines mining 300 meters away, across the bank

- The most immediate reason of the destruction of the bridge must have been floods and heavy rainfall. But sand mining very close to the bridge also must have created structural instability was an added threat. Mining so close to infrastructure like bridges also violates the guidelines of mining of minor minerals.

- In google earth, further upstream has even more pandupis, sand lines, sand heaps indicating more sand mining ( Jan-Nov 2021 - location - 25.906290,  78.465070)

(Observations by Rahul Sing and Aishani Goswami)",
mining_obs,Madhya Pradesh,Harda,Narmada,"Serial Number,Latitude,Longitude
1,22.576946,77.167978
",Small mining operation in chhipaner,
mining_obs,West Bengal,Paschim Medinipur,Subarnarekha,"Serial Number,Latitude,Longitude
1,22.227230,86.896543
2,22.220177,86.902867
3,22.234056,86.892064
",These are probably spread out over multiple concessions. Most observations were taken from SH9 bridge (Gopiballavpur). Both sides of the bridge are heavily mined. This site was not mined close to the bridge on this date. This is actually in Jhargram district,
mining_obs,West Bengal,Paschim Medinipur,Kangsabati,"Serial Number,Latitude,Longitude
1,22.469,87.085
","Observed 13 Trucks, 1 excavator. Active mining site. Hard to access site, so observed from a distance. Got chased out. ",
mining_obs,West Bengal,Uttar Dinajpur,Mahananda,"Serial Number,Latitude,Longitude
,26.48028703,88.26862402
","Sand Mining, Water Pumping, Data from WCT
",
mining_obs,Uttar Pradesh,Banda,Ken,"Serial Number,Latitude,Longitude
,25.703884,80.315708
","Large machines were seen digging right into the riverbed of River Ken at this location near Village Bandi.


This case report has been generated based on sightings of sand mining from the India Sand Watch and Veditum network. Here is the link to the tweet by Journalist Ashish Dixit which has date, time and location stamped images as well: 
https://x.com/AshishsagarD/status/1923754651947499898
 


And while the satellite image above has been taken on a cloudy day, another satellite image from the location (from 1 day before the image was taken) is attached below.


Have observations of sand mining in Indian rivers? Email 

sandwatch@veditum.org",
mining_obs,Madhya Pradesh,Datia,Sindh,"Serial Number,Latitude,Longitude
1, 25.875422, 78.419653
","- Location is Tiletha village, Barsula panchayat, Indergadh tehsil, Datia district

- Tiletha village is now divvided into two - one settlement is near the river and many familiess from the village have shifted about 1.5 kms away, towards the main road.

- Saw significant sand mining on the other side of the river (Left bank)

- Saw pandupi, JCB on other side of river - 1 photo

- Pandupi - boat like setup with pipes and diesel pumps in the middle of the river pumping out sand and water from the river bed and deposits on to the bank. The water flows back to the river and the sand deposited on river bank is filled on tractors through JCBs

- Could hear loud machine noises

- Can see temporary connections / kachha bridge and tractor on it in Google earth

- Saw previous years google earth - more pandupi in upstream, more squiggly sand lines in river (June-Nov 2018), bunds and stagnant water deposits, disappearing sand deposit areas, changing river flow.

(observations by Rahul Singh and Aishani Goswami)",
mining_obs,Odisha,Khordha,Daya,"Serial Number,Latitude,Longitude
1,20.226477,85.86709
",Observation made via flight. Multiple machines can be seen along with mining activity on the river surface.,
mining_obs,Bihar,Patna,Ganga,"Serial Number,Latitude,Longitude
1,25.6539999999999,85.0625189999999
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org",
mining_obs,West Bengal,Hugli,Ganga,"Serial Number,Latitude,Longitude
1,22.858211,88.372509
",Possibly bottom dredgers which then transport the extracted material via pipes to the riverbank. River was full so sand bar wasn't visible.,
mining_obs,Madhya Pradesh,Datia,Sindh,"Serial Number,Latitude,Longitude
1, 25.796674, 78.347624
","-Sand mining ear Badonkalan is taking place in huge amounts. This location is close to Goraghat-Dabra highway

- We were waiting near highway looking for a lift, and saw many tractors pass by - some of which were empty and some with sand

- Most tractors did not give us lift

- Finally sat in a tractor to go near River Sindh from BadonKalan village

- On the way, at one place, the tractor stopped, and the driver went to a cabin / house like structure and came back

- Many tractors were stopping on the way at this point from both ways

- Alluvial ravines on both sides

- After a point there was a bifurcation in road, one led to the BadonKalan village, but the tractor took the other route which went deeper in the alluvial ravines and it was a Kaccha road, it was a difficult route from within the ravine slopes. On this route only the people involved in sand and morram mining were seen.

- It was suspicious and scary and we decided to get down from the tractor before even reaching the river and walked all the way back. We were also unsure of the connectivity to walk further, as many locals had warned us it might be difficult to go further from that point.

- In google maps, this point on river shows mining over the years, some temporary sand bridges (pipa puls), trucks, tracks on sand, temporary sand bunds, changing river flow, disappearing sand formations, algae formation

- Datia DSR 2022 mentions 3 mining sites in BadonKalan (BadonKalan - D, A, E - of areas 23, 23, 24.094 Ha respectively)

- Comparing Datia DSR 2022 and other DSRs of districts from which River Sindh flows, we found that BadonKalan is the biggest mining site on River Sindh. 

(Observations by Rahul Singh and Aishani Goswami)",
mining_obs,West Bengal,Darjiling,Balason,"Serial Number,Latitude,Longitude
1,26.721201,88.375048
","Hundreds of small scale mining efforts - all manual, which is then loaded on to trucks. Not really visible from remote sensing - satellite images. Picture attached below.",
mining_obs,West Bengal,Nadia,Ganga,"Serial Number,Latitude,Longitude
1,23.224999,88.375872
",Possibly bottom dredgers which then transport the extracted material via pipes to the riverbank. River was full so sand bar wasn't visible.,
mining_obs,Madhya Pradesh,Narmadapuram,Narmada,"Serial Number,Latitude,Longitude
,22.606,77.375
",Many temporary settlements were established on the River bank,
mining_obs,Madhya Pradesh,Sehore,Narmada,"Serial Number,Latitude,Longitude
1,22.561081,77.320219
","Due to easy access to the main road a huge mining operation was being carried out with hundreds of boats, excavators, trucks and tractors. For about 1 to 2 kms I walked on that patch I could only see the mining going on. ",
mining_obs,West Bengal,Darjiling / Darjeeling,Mahananda,"Serial Number,Latitude,Longitude
,26.45176501,88.24002799
","Sand Mining, 3 Tractors, 2 Rafts, Data from WCT
",
mining_obs,Madhya Pradesh,Jabalpur,Narmada,"Serial Number,Latitude,Longitude
1,23.006909,79.924278
",small mining operation local mafias,
mining_obs,West Bengal,Paschim Medinipur,Rupnarayan,"Serial Number,Latitude,Longitude
1,22.6395890302956,87.8013630118221
","1 boat


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 
sandwatch@veditum.org",
mining_obs,Bihar,Pashchim Champaran,Gandak,"Serial Number,Latitude,Longitude
1,27.43881,83.906
","Stone and gravel collection


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ",
mining_obs,Bihar,Kishanganj,Mahananda,"Serial Number,Latitude,Longitude
,26.43804199,88.22248802
","Sand Mining, 3 boats, Data from WCT
",
mining_obs,Bihar,Saran,Ganga,"Serial Number,Latitude,Longitude
1,25.7388159999999,84.6705199999999
","3 sand-mining boats


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org",
mining_obs,Bihar,Saran,Ganga,"Serial Number,Latitude,Longitude
1,25.7239119999999,84.802277
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org",
mining_obs,Bihar,Saran,Ganga,"Serial Number,Latitude,Longitude
1,25.726931,84.827539
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org",
mining_obs,Bihar,Saran,Ganga,"Serial Number,Latitude,Longitude
1,25.725356,84.841262
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ",
mining_obs,Bihar,Begusarai,Ganga,"Serial Number,Latitude,Longitude
1,25.483481,85.926551
",tractor 1,
mining_obs,Bihar,Patna,Ganga,"Serial Number,Latitude,Longitude
1,25.6245249999999,85.171293
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org",
mining_obs,Bihar,Patna,Ganga,"Serial Number,Latitude,Longitude
1,25.653835,85.081181
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org",
mining_obs,Uttar Pradesh,Shamli,Yamuna,"Serial Number,Latitude,Longitude
1,29.455556,77.137222
","Night mining activity was observed at this location by members of our community networks. This is in clear violation of laws that do not allow mining activity to take place after sunset.


This case report has been generated based on sightings of sand mining from the India Sand Watch and Veditum network. Have observations of sand mining in Indian rivers? Email 

sandwatch@veditum.org",
mining_obs,Maharashtra,Sindhudurg,Gad,"Serial Number,Latitude,Longitude
,16.127786,73.462497
",First observation. About 10 boats in a stretch. Taluka: Malvan,
mining_obs,Rajasthan,Dhaulpur,Chambal,"Serial Number,Latitude,Longitude
,26.6596200,77.9502040
","Mining happening very close to the 2 bridges

Saw 5 - 6 tractors

Could see gharials, neelguy, crocodiles, many birds on the opposite bank",
mining_obs,Bihar,Patna,Ganga,"Serial Number,Latitude,Longitude
1,25.673344,85.0202749999999
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ",
mining_obs,Bihar,Patna,Ganga,"Serial Number,Latitude,Longitude
1,25.6633339999999,84.960875
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org",
mining_obs,Madhya Pradesh,Chhatarpur,Ken,"Serial Number,Latitude,Longitude
1,25.166259,80.420791
","The sand bank on the left side of the river was full of tracks from trucks / tractor trailers. We got to know that in the absence of any employment opportunities (the village here wasn't even electrified), villagers would rent out their tractors for sand mining. A bit upstream we did see more tractors on the river bank, though things were quiet when we were there.

The sand bank on the left bank has since vanished due to sand mining, and this change can be seen in imagery from subsequent years. Co-ordinates: 25.166259, 80.420791

",
mining_obs,Bihar,Patna,Ganga,"Serial Number,Latitude,Longitude
1,25.6596119999999,84.9363599999999
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ",
mining_obs,Madhya Pradesh,Morena,Chambal,"Serial Number,Latitude,Longitude
1,26.6922078,78.0010645
","Seen from the opposite bank - 9-10 tractors loaded with sand, 1 JCB

Mugger crocodile and some gharial seen on sand bank",
mining_obs,Madhya Pradesh,Morena,Chambal,"Serial Number,Latitude,Longitude
,26.6115281,77.8639336
","Gharials, buffaloes seen very close to the site

- Long lines of tractors seen coming to the site, multiple JCBs mining sand and filling in the tractor.

- Seen from opposite bank

- 3 to 5 JCBs mining sand, 100 to 150 tractors seen within 30 - 40 mins",
mining_obs,Bihar,Patna,Ganga,"Serial Number,Latitude,Longitude
1,25.700741,84.8704989999999
",NA,
mining_obs,Madhya Pradesh,Sheopur,Parbati (Chambal),"Serial Number,Latitude,Longitude
1,25.536358,76.518743
","Illegal sand mining in the Parbati River, National Chambal Sanctuary, near Rundi Village, Sheopur District, Madhya Pradesh",
mining_obs,Bihar,Saran,Ganga,"Serial Number,Latitude,Longitude
1,25.716186,84.862847
",NA,
mining_obs,West Bengal,Barddhaman,Damodar,"Serial Number,Latitude,Longitude
1,23.616152505234695,87.5259840615229
2,23.618457534071087,87.52984314280604
3,23.612354479277876,87.51344198227001
4,23.61154000846964,87.53541549592295
","Heavily mined site on a narrower stretch of the river. Mining was happenning in atleast 4 distinct sections, with larger dump trucks and 10 wheelers on the upstream side, and jet suction boats, JCBs and trucks on the downstream side.


District is actually Paschim Bardhaman",
mining_obs,Maharashtra,Sindhudurg,Karli,"Serial Number,Latitude,Longitude
,16.008992,73.605536
","Boats were docked, didn't observe any active ones. Taluka: Malvan",
mining_obs,Bihar,Kishanganj,Mahananda,"Serial Number,Latitude,Longitude
,26.44877804,88.23448302
","sand mining, 1 raft, Data from WCT",
mining_obs,Bihar,Kishanganj,Mahananda,"Serial Number,Latitude,Longitude
,26.44677401,88.23098601
","Sand Mining, 1 Raft, Data from WCT",
mining_obs,Bihar,Vaishali,Ganga,"Serial Number,Latitude,Longitude
1,25.630869,85.210855
",Saw mounds of sand collected on the edge of the river on the Northern bank. Boats were parked for transportation. Images from later dates suggest that this area sees significant sand mining activity.,
mining_obs,West Bengal,Darjiling / Darjeeling,Mahananda,"Serial Number,Latitude,Longitude
,26.49021599,88.29519197
","Sand and Boulder Mining, Gravel Panning, Data from WCT
",
mining_obs,Karnataka,Kodagu,Kaveri,"Serial Number,Latitude,Longitude
,12.30003333,75.74178333
",low intensity mining,
mining_obs,West Bengal,Uttar Dinajpur,Mahananda,"Serial Number,Latitude,Longitude
,26.48652803,88.30663302
","Sand Mining, Water Pumping, 6 rafts, 4 tractors, Data from WCT
",
mining_obs,Madhya Pradesh,Gwalior,Sindh,"Serial Number,Latitude,Longitude
1, 25.738613, 78.202066
","- Mining was not happening on date of observation, but mining equipment seen on the site.

- Observed an old 'pandupi' (diesel pump used to pump sand from river bed) - did not see it functional

- Can see many sand lines in April 2020 and October 2021 Google maps, which could be where 'pandupi' might have been functional - Can see more such in slightly upstream",
mining_obs,West Bengal,Uttar Dinajpur,Mahananda,"Serial Number,Latitude,Longitude
,26.48742699,88.30671902
","Sand Mining, Data from WCT
",
mining_obs,West Bengal,Darjiling / Darjeeling,Mahananda,"Serial Number,Latitude,Longitude
,26.49132198,88.30675296
","Sand Mining, 8 Tractors, 2 JCB, Data from WCT
",
