"" ,"License ->Content in this spreadsheet is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license. Details of the license can be seen here: https://creativecommons.org/licenses/by-nc-sa/4.0","Citation->Recommended citation: India Sand Watch, Veditum India Foundation. Accessed via http://sandwatch.envmonitoring.in on 4/12/2026",
"Title","Link","Open access resource","PDF","Summary","Key Points","Focus Region","State","Resource Type","Original date of report publishing","Date of Accessing Resource","Issuing body","Name of the Issuing body","Published Date","lastActivity.date"
"The Karnataka minor mineral concession rules, Amended Rules 2016-17","https://dmg.karnataka.gov.in/uploads/media_to_upload1636437776.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fd1ce272c-3b01-4f45-9917-e357157df556.pdf?generation=1685949462880739&alt=media","The Government of Karnataka has introduced amendments to the Karnataka Minor Mineral Concession Rules, 1994, in exercise of its powers conferred by sections 15, 15A, and 23C of the Mines and Minerals (Regulation and Development) Act, 1957. These amendments, known as the Karnataka Minor Mineral Concession (Amendment) Rules, 2016, have been enacted to modify the existing rules. The amendment rules include provisions related to various aspects of minor mineral concessions in Karnataka. They came into effect on the date of their publication in the Official Gazette.","Enacted by the Government of Karnataka: The rules were introduced by the Government of Karnataka. 
  
 Authority: The rules were made under the powers conferred by sections 15, 15A, and 23C of the Mines and Minerals (Regulation and Development) Act, 1957. 
 Amendment of the Karnataka Minor Mineral Concession Rules, 1994: The purpose of the rules is to amend the existing Karnataka Minor Mineral Concession Rules of 1994. 
 Title and Commencement: The rules are titled as the ""Karnataka Minor Mineral Concession (Amendment) Rules, 2016."" 
 Effective Date: The rules come into force from the date of their publication in the Official Gazette.","Regional","N/A","Guideline","12-08-2016 18:30:00","05-06-2023 18:30:00","Government"," Department of Mines and Geology, Karnataka","05-06-2023","N/A"
"The Assam Mineral Concession Rules 2013","https://dgm.assam.gov.in/sites/default/files/swf_utility_folder/departments/dgm_medhassu_in_oid_4/menu/document/assam_minor_mineral_concession_rules._2013_ammcr_2013_0.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Ffa12eaf8-c225-4135-adaf-45a66ff4f9d8.pdf?generation=1685950257988569&alt=media","N/A","N/A","Regional","Assam","Guideline","16-03-2013 18:30:00","05-06-2023 18:30:00","Government","Department of Mines and Minerals, Governmnt of Assam","05-06-2023","N/A"
"Odisha Minor Mineral Concession Rules, 2016","https://revenue.odisha.gov.in/sites/default/files/2020-02/OMMC_Rules_2016.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F9eb02440-2b26-4aae-a53f-4890162bcd12.pdf?generation=1686002124225825&alt=media","In exercise of the powers conferred by sub-section (1) of Section 15 of the Mines and Minerals (Development and Regulation) Act, 1957 (67 of 1957) and in supersession of the provisions contained in the Odisha Minor Mineral Concession Rules, 2004, except as respects things done or omitted to be done before such supersession, the State Government hereby makes the following rules for regulating the grant of mineral concessions in respect of minor minerals and for the purposes connected therewith. ","Grant of quarry lease for river bed sand mining — 
  1. In case of grant of quarry leases for river bed sand mining, specific river stretches shall be identified and quarry lease shall be granted stretchwise. 
 2. The depth of the quarry shall be restricted to three meters or water level, whichever is less.  
 3. The Competent Authority, in consultation with the local official not below the rank of Assistant Engineer of Water Resources Department shall work out appropriate safety zone taking into account the structural parameters, locational aspects, flow rate etc. for carrying out mining operation in proximity with any bridge or embankment.  
 4. No mining operation shall be carried out in the safety zone so worked out.  
  
 Adoption of cluster approach in small quarries —  
 1. Individual quarries covering an area less than five hectares and in total not more than one hundred hectare in a development block may be clubbed and declared as cluster by the Competent Authority.  
 2. For a cluster of mineral concession, an environment management plan shall be got prepared by the Competent Authority and submitted to the appropriate authority authorized to grant the environmental clearance under the provisions of the Environment (Protection) Act, 1986.  
 3. After obtaining environmental clearance for the entire cluster of sources, the whole source may be leased out as a single source or individual sources within a cluster may be leased out separately, as will be decided by the Competent Authority. However, the terms and conditions provided in the environmental clearance have to be obeyed by all the lessees. ","Regional","Odisha","Guideline","14-12-2016 18:30:00","06-06-2023 18:30:00","Government","Steel and Mines Department","05-06-2023","N/A"
"Odisha Sand Policy, 2021","https://revenue.odisha.gov.in/news/odisha-sand-policy-2021","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fa09264c2-d359-4631-a060-9055e03d56bd.pdf?generation=1686002805300098&alt=media","The Odisha Sand Policy, 2021 proposes to systematize the process chain of river sand mining so as to ensure scientific and sustainable sand mining and to meet the requirement of the river sand. ","1. Identification and Quantification of all potential sand sources and its optimal utilization, ensuring availability of sand commensurate with reucing demand supply gap, bringing professionalism in sand mining. 
 2. Regulate the sand mining in the State from its identification to its final end-use.  
 3. Ensure greater transparency through e-auction. 
 4. Develop scientific sand mining giving due weightage to safety, conservation, cost-effectiveness, environmental and social sustainability. 
 5. To bring in greater efficiency, responsibility, responsiveness and effective management of sand mining with technology based management system like 14MS. 
 6. To bring in place a robust system of enforcement to curb illegal mining of sand by use of IT enabled services and latest technologies for surveillance of the sand mining at each step. 
 7. Development of procedure for replenishment study of sand mining. 
 8. Post Environmental Clearance Monitoring and Environmental Audit. 
 9. To protect the environment and the right of the population to live in clean and safe surroundings, with the need to use natural resources in a way that will make a positive and sustainable contribution to the economy. 
 ","Regional","Odisha","Guideline","02-09-2021 18:30:00","06-06-2023 18:30:00","Government","Revenue and Disaster Management Department","05-06-2023","N/A"
"KMMCR Amendment Notification date 07.10.2020","https://dmg.karnataka.gov.in/uploads/media_to_upload1636535263.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F475d4f95-8ec8-45e5-96a9-7083e450a2b2.pdf?generation=1686029609338861&alt=media","The Karnataka Government has issued a notification on October 7, 2020, to make amendments to the Karnataka Minor Mineral Concession Rules, 1994. These amendments are made under the authority granted by section 15 of the Mines and Minerals (Regulation and Development) Act, 1957, a central act (Central Act 67 of 1957).

These rules govern the regulation and development of minor minerals within the state.","Amendment of rule 32: Sub-rule (11): The time limit for certain actions has changed from ""eighteen months from the date of commencement of these rules"" to ""nine months from the date of commencement of the Karnataka Minor Mineral Concession (Second Amendment) Rules, 2020.""

Sub-rule (12): The time limit for certain actions has changed from ""nine months from the date of commencement of these rules"" to ""four months from the date of commencement of the Karnataka Minor Mineral Concession (Second Amendment) Rules, 2020.""
A proviso has been added stating that if the holder of working permission fails to apply for conversion to a quarry license within the specified time limit, the working permission shall cease to be valid.
 
 Amendment of Rule 42: Sub-rule (5): The distance limit has changed from ""thirty kilometers"" to ""fifteen kilometers.""
A proviso has been added stating that the validity of a Computerized Mineral Dispatch Permit issued by an ordinary sand lease-holder or license-holder or their authorized person shall be one hour for every thirty kilometers of distance or fraction thereof from the date of issue.
 
 Amendment of Schedule I-A: The brackets, words, and numbers ""(see clause (m) and (f) of rule 21)"" have been replaced with ""(see clause (m) and (f) of rule 2).""
 
 Amendment of Schedule II: In the entry relating to serial number 33, the price per MT (Metric Ton) has changed from ""Rs.160 per MT"" to ""Rs.80 per MT.""
 
 Amendment of Form GL: The brackets, words, and figures ""(see sub-rule (5) of rule 11, rule 27, and sub-rule (2) of rule 33)"" have been replaced with ""(see rule 16).""
","Regional","Karnataka","Guideline","07-10-2020 18:30:00","06-06-2023 18:30:00","Government"," Department of Mines and Geology, Karnataka","06-06-2023","N/A"
"KMMCR Amendment Notification date 17.03.2023","https://dmg.karnataka.gov.in/uploads/83721679291115.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F0c95deee-cdc9-4b98-acb0-2351481d5dc9.pdf?generation=1686030533284052&alt=media","The Government of Karnataka has issued a notification on March 17, 2023, to introduce further amendments to the Karnataka Minor Mineral Concession Rules, 1994. These amendments are made under the authority granted by section 15 of the Mines and Minerals (Regulation and Development) Act, 1957, a central act (Central Act 67 of 1957).
The purpose of these amendments is to modify and update the existing rules regarding the concession of minor minerals in Karnataka. These rules govern the regulation and development of minor minerals within the state.","2. (ii) after clause (a-a), the following shall be inserted, namely:- “(a-b) “Additional Payment” means forty percent of royalty payable by the holder of lease or sand quarrying license and working permission, as specified under rule 3-A, in addition to royalty;” 
  
 3. (iv) levelling of any lands by a land owner within his own land and disposal of the minor mineral (other than sand) extracted thereof;” 
  
 11. (3) If any conflicts arises between applications received for grant of quarry lease before promulgation of the Karnataka Minor Mineral Concession (Amendment) Rules, 2016 that are now considered as eligible applications, and applications which are received and pending for consideration under the provisions of rule 31-ZC within the time prescribed the Karnataka Minor Mineral Concession (Amendment) Rules 2016, the competent authority shall consider applications for grant of quarry lease which are received under the provisions of rule 31-ZC of the Karnataka Minor Mineral Concession (Amendment) Rules 2016, for production of manufacture sand. 
  
 11. (ii) in sub-rule (4), the words “However, in case of sand at least ninety days before the expiry of the two years period”, shall be omitted. 
  
 17. Amendment of rule 11.- In the said rules, in rule 11, the words “except for sand and M - sand”, shall be omitted. 
  
 25. Amendment of rule 31-R.- In the said rules, in rule 36-R,- (i) in sub-rule (3), in clause (vi), for the words “lease holder” the words “successful bidder” shall be substituted. (ii) in sub-rule (4), in clause (ii) the words, figures and letters “in coastal districts as per rule 31-ZB” shall be omitted. (iii) after sub-rule (6), the following shall be inserted, namely:- “Provided that, if the seized sand is not required for any Government works, action shall be taken by the District Sand Committee to dispose such sand to the general public.” 
  
 25. v) in sub-rule (20) for clause (ii) the following shall be substituted, namely:- “(ii) In case of IV, V and higher order streams of river, any person aggrieved by an order passed by the District sand committee may prefer a revision to the Commissioner or Director Department of Mines and Geology. within thirty days from the date of receipt of such order.” 
  
 25. (vi) after sub-rule (20) the following shall be inserted, namely:- “(21) No transport of sand shall be made across the border to other States:  Provided that in case of exigencies the State Government on the recommendation of the District Sand Committee, or on its own, may allow transportation of sand across the border to other States.” 
  
 26. (vii)“(19) For the purpose of reservation and grant of sand quarrying lease for the blocks available in IV, V and higher order stream through tender – cum – auction shall be done as per guidelines and tender documents notified and issued by the Government from time to time.” 
  
 27. (ii) after sub-rule (3) the following shall be inserted, namely:- “Provided that if there is a possibility of replenishment of sand in the patta land, the quarrying of sand in patta land may allowed within the five kilometers of river bed mining.” 
  
 29. Amendment of rule 31-ZA.- In the said rules in rule 31-ZA for sub-rule (2) the following shall be substituted, namely:- “(2) The permit holder, in additional to the royalty shall pay additional payment for the sand disposed after removal of sand bars from the Coastal Regulation Zone (CRZ) and the same shall be remitted to the Consolidated Fund of the State.” 
  
 30. Amendment of rule 31-ZB.- In the said rules in rule 31-ZB,- (ii) after sub-rule (2), the following shall be inserted, namely:- 18 “(3) Regulation of sand removal from de-siltation of vented dams manually in Non-CRZ areas of coastal Districts,- (a) In Non-CRZ areas of coastal district, viz. Uttar Kannada, Dakshina Kannada and Udupi Districts, the de-siltation of vented dams shall be allotted by way of tender-cum-auction by the District Sand Committee amongst the traditional sand extracting communities to be identified as specified in rule31-ZB. (b) The grant of permission for de-siltation of vented dams in Non-CRZ areas of coastal Districts shall be done as per the guidelines and tender document issued and notified by the State Government from time to time.” 31. Amendment of rule 31-ZC.- In the said rules in rule 31-ZC,- (i) for sub-rule (1), the following shall be substituted, namely:- “(1) Notwithstanding anything contained in these rules in order to promote manufactured sand (hereinafter referred as M-Sand) and to conserve natural sand shall be granted quarry lease for persons who have already established or person who hold a valid license (Form-CFE) for establishment of M-sand Unit to enable them to produce M-Sand for the next thirty years.” 
  
 ","Regional","Karnataka","Guideline","17-03-2023 18:30:00","06-06-2023 18:30:00","Government"," Department of Mines and Geology, Karnataka","06-06-2023","N/A"
"Karnataka - Sand Policy 2020 Gazette Notification in Kannada","https://dmg.karnataka.gov.in/uploads/media_to_upload1636526045.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F92ac38a1-f567-49e8-9b62-618927983899.pdf?generation=1686045374191025&alt=media","Note- Originally the document uploaded is in Kannada. To see the English translation, jump to page 29. 

The Karnataka government implemented a ""new sand policy in 2020"", changing the responsibility of sand mining from the Public Works Department to the Department of Mines and Geology. The policy allows for the grant of leases and licenses for sand mining through tender co-auction and on patta lands. The state has a high demand for sand, estimated at 45 million metric tonnes, which is supplied through various sources including M Sand units, sand blocks leased through e-auction, and sanctioned sand mining on patta lands. The new policy aims to meet the growing demand for sand in the state due to rapid development and construction projects, while also addressing concerns related to illegal sand mining.


","- Identification of sand deposits in first, second, and third order streams (I, II & III Order Streams) and lakes. 
 - Involvement of Mines and Geology, Ground Water Department, and Panchayat Development Officers in the identification process. 
 - Identification of sand deposits in W, V, and VI order streams, as well as in dam reservoirs and backwaters of dams. 
 - Collaboration among the Department of Mines and Geology, Water Resources Department, Revenue Department, and concerned forest department officials for sand deposits in forest areas. 
 - Verification of the amount of sand deposited in the identified areas. 
 - Joint survey team to estimate the available sand deposits and submit a report with latitude and longitude coordinates. 
 - Approval of the report and recommendations by the Taluk Sand Committee. 
 - Further approval of the District Sand Committee based on the report and recommendations. 
 - Gram Panchayat to determine permit period for sand removal based on the quantity of sand deposit in the notified area. 
 - Joint survey team to submit site inspection report, including latitude and longitude map, with recommendations to the District Sand Committee through the Taluk Sand Committee for approval. 
 - State Government Owned Body Corporation or designated corporation to be authorized for sand extraction from notified areas. 
 - Fixing the sale price of sand in First, Second, and Third Order Streams and lakes by the Gram Panchayat according to the rates set by the District Sand Committee. 
 - Government's authority to set the maximum sand price for disposal by the Gram Panchayat. 
 - Disposal of sand available in rivers, dam reservoirs, and backwaters of dams at sale rates determined by the District Sand Committee for streams of IV, V, and VI order. 
 - District Sand Committee to determine the lease permit period for sand extraction in First, Second, and Third Grade Pallas, based on the availability of sand stored in the creeks and lakes, with a maximum duration of one year. 
 - Permit duration for sand extraction can be fixed for a maximum of five years based on the availability of sand stored in streams/rivers and dam reservoirs/backwaters. 
 - Gram Panchayats and State Government Owned Institutions/Corporations/Boards should comply with Ministry of Environment and Forests (MoEF) guidelines for carrying out sand extraction in various order streams and dam reservoirs/backwaters. 
 - Sand accumulated in dam reservoirs and backwaters should be removed according to the guidelines. 
 - Local consumers in the taluk area should submit construction plans and related documents to the Gram Panchayat for obtaining mineral shipment permits to transport sand for their own house, toilet construction, and local community building works. 
 - Transportation of sand from notified deposit areas in streams and lakes to the designated factories should be done by the consumers themselves at their own expense using light vehicles. 
 - Granting consignment permits to consumers by Gram Panchayats should be supervised by the Taluk Sand Committee. 
 - State Government-Owned Institutions/Corporations/Boards designated by the government should transport the sand extracted from reservoirs and dam backwaters to the stockyard, load the sand into vehicles with mineral shipment permits, and sell it to customers. 
 - Sand removal, transportation, storage, and disposal activities should be carried out by State Government-owned organizations licensed and operated by Corporation Boards, as designated by the government through a notification. 
 - Sand extracted from first, second, and third-order sand deposit areas can be transported to villages within the taluk using light vehicles such as tractors and bullock carts. 
 - Sand extracted from fourth, fifth, and sixth-order streams/rivers and dam reservoirs/backwaters should be transported to the stockyard using GPS-equipped vehicles with mineral shipment permits, following transport regulations and bulk capacity. 
 - Establishment of an online booking and sales system for sand delivery to users through a State Government-Owned Institution, along with registration of customers and vehicles. 
 - Contractors who have obtained sand leases through auction should also provide sand to customers through online booking, as per the Karnataka Sub-Mineral Concession (Amendment) Rules, 2016. 
 - Identification and allocation of sand blocks for government works or major government projects carried out by contractors, with permission to use the sand given to the government at the rate decided by the District Sand Committee. 
 - Continuation of the process of granting licenses for sand mining in Patta lands, in accordance with the Karnataka Sub Mineral Concession (Amendment) Rules, 2016. 
 - Approved care plan and environmental clearance are required before issuing licenses for sand mining on patta land, as per MoEF guidelines. 
 - Sand mining and disposal in sand lease areas sanctioned through auction are allowed until the expiry of the lease period, according to the Karnataka Sub-Mineral Concession (Amendment) Rules, 2016. 
 - Regulation charges are applicable for the transport of sand from outside the state, with the amount fixed by the government and payable at the district sand committee/departmental binija dastanu kendra/inspection panas. Proper permits are required for sand transportation. 
 - Monitoring of sand transport vehicles will be conducted through the ""Sand Vehicle Tracking System"" software by the District Sand Committee. 
 - Online booking of sand sales and monitoring through the Monitoring System (SSMMS) will be implemented by the District Sand Committee. 
 - Establishment of a Mineral Protection Force under the Department of Mines and Geology to take action against unauthorized sand mining, stockpiling, and transportation. 
 - Action will be taken against unauthorized sand mining, transportation, and stockpiling by the Member Department Officers of the District Sand Committee and Taluk Sand Committee, in accordance with Section 21 of the Mines and Minerals (Development and Control) Act, 1957, and Rule 3 and Rule 4(5) of the Karnataka Sub-Mineral Concession Rules, 2004. 
 ","Regional","Karnataka","Guideline","01-01-2020 18:30:00","06-06-2023 18:30:00","Government"," Department of Mines and Geology, Karnataka","06-06-2023","N/A"
"Industries and Mines Department ,Gujarat: Guidelines","https://cgm.gujarat.gov.in/uploads/policydocuments/Gazette%20Gujarat_Minor_Mineral_Concession_Rule_2017.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F61e1d7de-d75f-4b3b-bdd1-af64d7574105.pdf?generation=1686051434175575&alt=media","In this document, one can find definitions of concepts like -cluster, quarry lease, mining plan, scheduled area etc. In Gujarat, the quarry lease is granted by the Government through an electronic auction process prescribed in this Gazette. It also gives the reader a detailed description of the auction process that takes place and the various stages it comprises, procedures of scientific and systematic mining(which involves making of a mining plan approved by the Government), duties of the qualified officers(Geologists, Mining Engineers) etc.
The environment management plan that needs to be followed by every leaseholder includes provisions for reclamation and rehabilitation of land affected by mining operations, storage of overburden and waste stock, precautions against noise pollution etc.
The document suggests exploration norms for different types of mineral deposits including moulding sand and Silica sand.","Quarry lease, Tender Document, Auction Process, Liabilities, powers and privileges of the lessee, Mining Plan, Environmental plan and clearance, Minor Minerals.","Regional","Gujarat","Guideline","24-05-2017 18:30:00","06-06-2023 18:30:00","Government","Industries and Mines Department, Government of Gujarat","06-06-2023","N/A"
"Illegal Sand Mining Conflicts in India","http://www.ejolt.org/wordpress/wp-content/uploads/2015/02/FS_010_India-Sand-Mining.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Ffd5bcc50-34a9-4484-a3da-75fc6b5b1ace.pdf?generation=1686633791501695&alt=media","Illegal Sand Mining Conflicts in India.","IMPACTS 
 CONFLICTS 
 CASE STUDIES 
 ","India ","N/A","Analysis","16-01-2015 18:30:00","13-06-2023 18:30:00","Civil society / NGO","Environmental Justice organisations liabilities and trade","13-06-2023","N/A"
"Tamil Nadu M-Sand Policy, 2023","https://www.thehindu.com/news/national/tamil-nadu/66598818-Tamil-Nadu-M-Sand-Policy-2023.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F37a5fb78-9f73-474a-8aa7-0f5f529d35b2.pdf?generation=1687167984213629&alt=media","The M-Sand or Crushed Sand Policy of the Government of Tamil Nadu in 2023 aims to achieve several objectives. First, it intends to protect the river ecosystem by regulating the use of river sand in a sustainable manner. Second, the policy aims to promote the usage of high-quality M-Sand or Crushed Sand that meets the compressive strength standards set by the Bureau of Indian Standards (BIS), offering a viable and cost-effective alternative to river sand for construction purposes.

Furthermore, the policy seeks to facilitate compliance with relevant statutes, rules, and regulations for M-Sand/Crushed Sand manufacturing units in Tamil Nadu, bringing the sector under formal regulation. It also aims to establish standardized procedures for the approval of such manufacturing units.

Additionally, the policy aims to support standalone crushing/manufacturing units that solely rely on stone quarries for raw materials, providing them with necessary assistance and guidance. It also promotes the recycling of coarse and fine aggregates from construction and demolition waste, as well as quarry waste within the state, contributing to sustainable practices in the construction industry.

Lastly, the policy aims to promote zero-waste mining and quarrying practices throughout Tamil Nadu, encouraging environmentally responsible approaches in these sectors.","1. The policy emphasizes the need to conserve natural resources for the benefit of future generations. 
 2. M-Sand or Crushed Sand is produced by crushing rock quarry stones or larger aggregate pieces into sand-sized particles. 
 3. The manufactured sand (M-Sand)/Crushed Sand must meet certain quality standards, including passing through a 4.75 mm sieve and having a minimum size of 150 microns. 
 4. Tamil Nadu recognizes M-Sand/Crushed Sand production as essential for infrastructure development in the state. 
 5. Rampant sand mining and depletion of natural aggregates have made river sand scarce, leading to the need for an alternative like M-Sand/Crushed Sand. 
 6. The policy aims to promote zero-waste quarrying by utilizing low-value blocks and waste generated in the production of M-Sand/Crushed Sand. 
 7. M-Sand/Crushed Sand offers advantages such as higher flexural strength, better abrasion resistance, higher unit weight, and lower permeability compared to river sand. 
 8. The policy focuses on establishing quality standards, control measures, and the usage of water in M-Sand/Crushed Sand manufacturing. 
 9. It addresses the setting up of manufacturing units, disposal of waste, and controlling air and water pollution. 
 10. The policy promotes the usage of recycled aggregates (C&D waste) and recycled concrete aggregates (RCA) in construction. 
 11. Quarry leases and health and safety of workers are also considered. 
 12. The policy emphasizes strengthening the legal framework, implementing a zero-tolerance approach, and establishing a single-window portal for ease of operation. 
 13. Monitoring and evaluation of policy implementation, as well as the validity of the policy, are key components.","Regional","Tamil Nadu","Guideline","01-01-2023 18:30:00","19-06-2023 18:30:00","Government","Department of Geology and Mining, Tamil Nadu","19-06-2023","N/A"
"THE TAMIL NADU MINOR MINERAL CONCESSION RULES, 1959","https://upload.indiacode.nic.in/showfile?actid=AC_TN_85_692_00004_00004_1546856733370&type=rule&filename=tnmmcr_-_1959_update-2019.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F78f18c06-4e68-4414-8c1c-12295e8b3477.pdf?generation=1687172945528783&alt=media","The Tamil Nadu Minor Mineral Concession Rules, 1959, were established by the Governor of Tamil Nadu in exercise of the powers conferred by Section 15 of the Mines and Minerals (Regulation and Development) Act, 1957. These rules superseded the Tamil Nadu Minor Mineral Concession Rules, 1956. 

Please note that this document includes amendments up to 10-04-2018","Quarrying or removal of sand in the state is subject to prohibition or regulation by the Conservator of Rivers, especially in the case of lands in river beds covered by the Madras Rivers Conservancy Act, 1884. 
 The Collector cannot sanction quarrying or removal in river beds covered by the Madras Rivers Conservancy Act without consulting the Conservator of Rivers. 
 For river beds not covered by the Madras Rivers Conservancy Act but under the charge of the Public Works Department, the Collector cannot sanction quarrying or removal without consulting the Executive Engineer of the Division. 
 Before granting quarrying leases or forwarding applications for quarrying leases or permits, the District Collector or District Forest Officer must ensure that clearance has been obtained from the jurisdictional authority overseeing the place of quarrying in the river. 
 Additionally, clearance must be obtained from the authority controlling any bridges or water supply sources or works in the area of quarrying. 
 The District Collector or District Forest Officer must also obtain a no objection certificate from the Tamil Nadu Water Supply and Drainage Board for quarrying sand in river beds","Regional","Tamil Nadu","Guideline","01-01-2019 18:30:00","19-06-2023 18:30:00","Government","Department of Geology and Mining, Tamil Nadu","19-06-2023","N/A"
"River Sand Mining in Kerala: 2021-2022 Annual Report","N/A","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F3a715f00-1918-43c3-8477-c3d0cde07a09.pdf?generation=1687175890774464&alt=media","This is the first annual report on river sand mining in Kerala issued by the Institute of Land and Disaster Management (ILDM). Its important points are as follows:
1. The Hon’ble NGT has directed all States/UTs to publish their Annual Reports covering actions taken against illegal sand mining and such annual reports need to be furnished to MoEF&CC by 30th April every year giving status till 31st March.
2. Sand Mining in Kerala is controlled and regulated by the provisions of Kerala Protection of River Banks and Regulations on Removal of Sand Act-2001. River sand mining is completely handled by State Government since 2001 and no portion of the river in the State is leased out to any private parties for sand mining. A three-tier decentralized system functions in the State to protect river banks and regulate river sand mining. The State High-Level Committee (SHLC) at the State level chaired by Revenue Minister, District Expert Committee (DEC) at the District level chaired by District Collector, and Kadavu Committee at the Panchayat/Municipality/ Corporation level are the statutory monitoring systems functions in the State.
3. The government of Kerala has entrusted CSIR-National Institute of Interdisciplinary Sciences and Technology (NIIST), the only NABET accredited agency from Kerala in mining sector, with the task of preparing District Survey Report (DSR) for 10 districts in the State as part of obtaining Environmental Clearance.
4. There were 672 vehicles and four equipments seized against illegal transporting from Kerala from 1.04.2021 to 31.03.2022. There were 676 vehicles released including those seized in the previous year after levying a fine. An amount of Rs. 2.06 Crore was remitted to River Management Fund as a penality amount levied against vehicles and equipments used in illegal sand mining. Against illegal sand mining, 683 cases were registered and an amount of Rs. 24.79 Lakh was remitted to River Management Fund from the sale of illegally mined sand after seizure and confiscation.","N/A","Regional","Kerala","Analysis","01-04-2022 18:30:00","19-06-2023 18:30:00","Government","Institute of Land and Disaster Management (ILDM)","19-06-2023","N/A"
"Global mining footprint mapped from high-resolution satellite imagery - Communications Earth & Environment","https://www.nature.com/articles/s43247-023-00805-6","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fe21fd8de-9c8f-4f65-a09c-2a8d0c712505.pdf?generation=1687347745025441&alt=media","High resolution satellite imagery was used by researchers to identify mining footprint across the globe. 

74,548 mine area polygons are reported in the present study, with global coverage and example delineated areas illustrated in Fig. 1 of the paper. A total estimated mine area of 65,585.4 km sq is mapped, with an arithmetic mean of 0.88 km sq (258,493.0 km total perimeter, 3.5 km/polygon).","The dataset comprises mine area polygons from 135 countries and regions, though these areas are highly clustered. 
 Approx. 79% of the polygons are situated within 13 countries: China, USA, Russia, Australia, Indonesia, South Africa, Ukraine, Ghana, Canada, India, Brazil, Kazakhstan, and Chile.  
 Correspondingly, 122 countries and regions have ~21% of the total mine area polygons, with fewer than 625 polygons each (<1%). 
 Major mining nations can broadly be divided into high mineral demand countries (e.g., China, India, and USA) and high mineral export countries (e.g., Australia, Canada, South Africa, and Russia). 
 The complete polygon dataset is available for download via Zenodo, at https://doi.org/10.5281/zenodo.6806817","Global ","N/A","Research paper","22-04-2023 18:30:00","21-06-2023 18:30:00","Other","Communications Earth & Environment (Nature)","21-06-2023","N/A"
"River Sand Mining in Kerala: 2022-2023 Annual Report","N/A","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F2399c2ad-a7f1-40a2-ad50-fbece1076a39.pdf?generation=1687462741313938&alt=media","This is the second annual report on river sand mining in Kerala issued by the Institute of Land and Disaster Management (ILDM). Its important points are as follows:
1. River sand mining is completely handled by State Government since 2001 and no portion of the river in the State is leased out to any private parties for sand mining.
2. River sand mining is completely handled by State Government since 2001 and no portion of the river in the State is leased out to any private parties for sand mining.
3. DSR will be prepared for 10 districts (Pathanamthitta, Kottayam, Idukki, Ernakulam, Thrissur, Palakkad, Malappuram, Kozhikode, Kannur, and Kasargod) where mineable sand deposits are identified through Sand Auditing, by CSIR-NIIST. CSIR-NIIST proposed 18 months and 1.89 Crores + 18% GST for the preparation of DSR for 10 districts from their MoU signing in April 2022.
4. There were 440 vehicles seized against illegal transporting of sand in Kerala from 1.04.2022 to 31.03.2023. There were 281 vehicles released this year after levying a fine. An amount of Rs. 69.46 Lakhs was remitted to River Management Fund as a penalty amount levied against vehicles used in illegal sand mining. Against illegal sand mining, 456 cases were registered and an amount of Rs. 29.77 Lakh was remitted to River Management Fund from the sale of illegally mined sand after seizure and confiscation.","N/A","Regional","Kerala","Analysis","01-04-2022 18:30:00","23-06-2023 18:30:00","Government","Institute of Land and Disaster Management (ILDM)","23-06-2023","N/A"
